mineral_index,Mineral Name,Derived Strunz Top-Level,Structural Groupname,Crystal Systems,MDS 1,MDS 2,MDS 3
4756,Richetite,04,,triclinic,0.6460927299165443,-0.2521899396252043,0.018106617427396842
4757,Richterite,09,Amphibole,monoclinic,0.5692586637776672,-0.0669722180232823,0.059840627005254055
4758,Rickardite,02,,tetragonal,0.6535162298573839,-0.03173917543689925,-0.015769823388785874
4759,Rickturnerite,03,Not in a structural group,orthorhombic,0.5990347146984075,-0.12945616904933183,-0.010605971621332637
4760,Riebeckite,09,Amphibole,monoclinic,0.5822488393963804,-0.09453063045293454,0.050828704637401675
4761,Riesite,04,Columbite,monoclinic,0.677564065033845,-0.08072984419800516,0.044262268189563095
4762,Rietveldite,07,Svornostite,orthorhombic,-0.23640794506435356,-0.2554645237360406,-0.27519744233309706
4763,Rigrahamite,05,Not in a structural group,monoclinic,-0.1864571982804339,-0.28208683060109907,-0.021980003224223395
4764,Rilandite,09,,,0.09148660873532231,0.0599545386952908,-0.056311665669808
4765,Rimkorolgite,08,,monoclinic,-0.35358614304408353,0.3365189087900528,0.3081700296440698
4766,Ringwoodite,09,Spinel,cubic,-0.27740389958183065,0.36915645567597655,-0.015502575047305954
4767,Rinkite-(Ce),09,Seidozerite-Rinkite,monoclinic,0.6046451938587224,-0.03888092132578234,0.04306311541672652
4768,Rinkite-(Y),09,Seidozerite-Rinkite,monoclinic,0.603825762418559,-0.036198912218477416,0.03927965150714843
4769,Rinmanite,04,Nolanite,hexagonal,0.5923566629023111,-0.10167047984937991,0.054101208364118386
4770,Rinneite,03,Rinneite,hexagonal,0.6227185144819865,0.0777330329953027,0.015402739792610975
4771,Riomarinaite,07,,monoclinic,-0.21593563074711675,-0.2564452821369853,-0.2613578179127809
4772,Ríosecoite,08,Not in a structural group,triclinic,-0.2298146163656493,-0.18960935787620953,0.3168321945736289
4773,Riotintoite,07,Not in a structural group,triclinic,-0.2209788270293595,-0.2797519808953314,-0.25882860911170813
4774,Rippite,09,Not in a structural group,tetragonal,0.656633876989577,-0.07210042211286947,0.047897499088459375
4775,Rittmannite,08,Jahnsite,monoclinic,-0.2522623082697627,-0.15909715105293806,0.33889462929658165
4776,Rivadavite,06,,monoclinic,0.6089800462468229,-0.17863970713027882,0.03422539527915254
4777,Riversideite,09,Tobermorite,,0.5923027823251458,-0.115203452229317,0.024479078108991102
4778,Roaldite,01,,cubic,0.6295198526516513,0.1255212064475703,0.00898113203229408
4779,Robertsite,08,Arseniosiderite,monoclinic,-0.242090836298832,-0.11311770144785349,0.3525455033162758
4780,Robinsonite,02,,monoclinic,0.6594560901939424,-0.021176271000505904,-0.018483352751913294
4781,Rockbridgeite,08,Rockbridgeite,orthorhombic,-0.2311399497358259,-0.1691492307461922,0.33354042220306795
4782,Rodalquilarite,03,,triclinic,-0.2340724168049204,-0.15219125483464319,-0.282011867429687
4783,Rodolicoite,08,Quartz,hexagonal,-0.3490100798873074,0.3735262996319121,0.3225026396684869
4784,Roeblingite,09,Roeblingite,monoclinic,-0.23582272488424139,-0.22671905176341664,-0.27195947024079237
4785,Roedderite,09,Milarite,hexagonal,0.5789546291486453,-0.0005264518085125172,0.04887357447912806
4786,Rogermitchellite,09,,hexagonal,0.6131471480280606,-0.1585885060144935,0.05301574745289074
4787,Roggianite,09,,tetragonal,0.5824736430755236,-0.1482554952722055,0.03251365913442718
4788,Rohaite,02,,"tetragonal, orthorhombic",0.6473018258102227,-0.03698316932809445,-0.008608257303266118
4789,Rokühnite,03,,monoclinic,0.6205773905354721,0.10108440386216908,-0.00692080054670664
4790,Rollandite,08,,orthorhombic,-0.3621469958135491,0.33087661015785225,0.2643440669572727
4791,Romanèchite,04,,monoclinic,0.6009935207843595,-0.10240254675208749,0.06694900012500493
4792,Romanorlovite,03,,tetragonal,0.6165162513998943,-0.023733840512252784,-0.0009462469801647918
4793,Romarchite,04,Litharge,tetragonal,0.655494076223535,-0.06913606896877283,-0.007605263933976834
4794,Römerite,07,Römerite,triclinic,-0.36294928763016965,0.27265238751314225,-0.3439134703602802
4795,Rondorfite,09,,"triclinic, cubic",-0.19731233535579373,0.00459674813197233,0.0035582132071642664
4796,Rongibbsite,09,Not in a structural group,monoclinic,0.6043396120187549,-0.11946986035750176,-0.01694322539078981
4797,Ronneburgite,04,,monoclinic,0.6079861017616309,-0.03090988166747563,0.04242591295906825
4798,Ronpetersonite,07,Scheelite,tetragonal,-0.2713940165326098,0.3848499314168862,-0.06769686516917733
4799,Röntgenite-(Ce),05,,hexagonal,-0.2001874007275474,-0.05571102505719614,-0.05346196585605168
4800,Rooseveltite,08,Monazite,monoclinic,-0.3359216482745556,0.3886938977243516,0.3190648845475533
4801,Roquesite,02,Chalcopyrite,tetragonal,0.6566646851874667,-0.04962646938026739,0.000597659480958454
4802,Rorisite,03,Matlockite,tetragonal,0.6268894049686631,0.10971431040903495,-0.005848970763400074
4803,Rosasite,05,Malachite,monoclinic,-0.17496269751971677,-0.25886884069995914,-0.03720711042907188
4804,Roscherite,08,Roscherite,triclinic,-0.2505884486491375,-0.180173362644073,0.3415219299953938
