Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Berryite,Cu^1+^_3_Ag^1+^_2_Pb^2+^_3_Bi^3+^_7_S^2-^_16_,Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-,Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-,Cu Ag Pb Bi S,Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-,valid,,,
Berthierine,"(Fe^2+^,Fe^3+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_",Fe^2+ Fe^3+ Al Si O H,Fe^2+ Fe^3+ Al Si O H,Fe Al Si O H,Fe^2+ Fe^3+ Al Si O H,valid,,,
Berthierite,Fe^2+^Sb^3+^_2_S^2-^_4_,Fe^2+ Sb^3+ S^2-,Fe^2+ Sb^3+ S^2-,Fe Sb S,Fe^2+ Sb^3+ S^2-,valid,,,
Bertossaite,Li_2_CaAl_4_(PO_4_)_4_(OH)_4_,Li Ca Al P O H,Li Ca Al P O H,Li Ca Al P O H,Li Ca Al P O H,valid,,,
Bertrandite,Be_4_Si_2_O_7_(OH)_2_,Be Si O H,Be Si O H,Be Si O H,Be Si O H,valid,,,
Beryl,Be_3_Al_2_(Si_6_O_18_),Be Al Si O,Be Al Si O,Be Al Si O,Be Al Si O,valid,,,
Beryllite,Be_3_SiO_4_(OH)_2_·H_2_O,Be Si O H,Be Si O H,Be Si O H,Be Si O H,valid,,,
Beryllonite,NaBePO_4_,Na Be P O,Na Be P O,Na Be P O,Na Be P O,valid,,,
Berzelianite,Cu_2-x_Se (x ≈ 0.12),Cu Se,Cu Se,Cu Se,Cu Se,valid,,,
Berzeliite,NaCa_2_Mg_2_(As^5+^O_4_)_3_,Na Ca Mg As^5+ O,Na Ca Mg As^5+ O,Na Ca Mg As O,Na Ca Mg As^5+ O,valid,,,
Beshtauite,(N^3-^H_4_)_2_(U^6+^O_2_)(S^6+^O_4_)_2_·2H_2_O,N^3- H U^6+ O S^6+,N^3- H U^6+ O S^6+,N H U O S,N^3- H U^6+ O S^6+,valid,,,
Betekhtinite,"(Cu,Fe)_21_Pb_2_S_15_",Cu Fe Pb S,Cu Fe Pb S,Cu Fe Pb S,Cu Fe Pb S,valid,,,
