Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Alterite,Zn^2+^_2_Fe^3+^_4_(S^6+^O_4_)_4_((C_2_)^6+^O_4_)_2_(OH)_4_·17H_2_O,Zn^2+ Fe^3+ S^6+ O C H,Zn^2+ Fe^3+ S^6+ O C H,Zn Fe S O C H,Zn^2+ Fe^3+ S^6+ O C H,valid,,,
Althausite,"Mg_4_(PO_4_)_2_(OH,O)(F,[box])",Mg P O H F,Mg P O H F,Mg P O H F,Mg P O H F,valid,,,
Althupite,AlTh^4+^(U^6+^O_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O,Al Th^4+ U^6+ O P H,Al Th^4+ U^6+ O P H,Al Th U O P H,Al Th^4+ U^6+ O P H,valid,,,
Altisite,Na_3_K_6_Ti^4+^_2_Al_2_Si_8_O_26_Cl_3_,Na K Ti^4+ Al Si O Cl,Na K Ti^4+ Al Si O Cl,Na K Ti Al Si O Cl,Na K Ti^4+ Al Si O Cl,valid,,,
Aluminite,Al_2_S^6+^O_4_(OH)_4_·7H_2_O,Al S^6+ O H,Al S^6+ O H,Al S O H,Al S^6+ O H,valid,,,
Aluminium,Al,Al,Al,Al,Al,valid,,,
Aluminoceladonite,"K(Mg,Fe^2+^)AlSi_4_O_10_(OH)_2_",K Mg Fe^2+ Al Si O H,K Mg Fe^2+ Al Si O H,K Mg Fe Al Si O H,K Mg Fe^2+ Al Si O H,valid,,,
Aluminocerite-(CeCa),(Ce^3+^_6_Ca_3_)[box]Al(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_,Ce^3+ Ca Al Si O H,Ce^3+ Ca Al Si O H,Ce Ca Al Si O H,Ce^3+ Ca Al Si O H,valid,,,
Aluminocopiapite,AlFe^3+^_4_(S^6+^O_4_)_6_O(OH)(H_2_O)_14_·6H_2_O,Al Fe^3+ S^6+ O H,Al Fe^3+ S^6+ O H,Al Fe S O H,Al Fe^3+ S^6+ O H,valid,,,
Aluminocoquimbite,Al_2_Fe^3+^_2_(S^6+^O_4_)_6_(H_2_O)_12_·9H_2_O,Al Fe^3+ S^6+ O H,Al Fe^3+ S^6+ O H,Al Fe S O H,Al Fe^3+ S^6+ O H,valid,,,
Aluminomagnesiohulsite,Mg_2_AlO_2_(BO_3_),Mg Al O B,Mg Al O B,Mg Al O B,Mg Al O B,valid,,,
Alumino-oxy-rossmanite,Al_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_O,Al Si O B H,Al Si O B H,Al Si O B H,Al Si O B H,valid,,,
Aluminopyracmonite,(N^3-^H_4_)_3_Al(S^6+^O_4_)_3_,N^3- H Al S^6+ O,N^3- H Al S^6+ O,N H Al S O,N^3- H Al S^6+ O,valid,,,
Aluminosugilite,KNa_2_Al_2_Li_3_Si_12_O_30_,K Na Al Li Si O,K Na Al Li Si O,K Na Al Li Si O,K Na Al Li Si O,valid,,,
Aluminotaipingite-(CeCa),(Ce^3+^_6_Ca_3_)Al(SiO_4_)_3_[SiO_3_(OH)]_4_F_3_,Ce^3+ Ca Al Si O H F,Ce^3+ Ca Al Si O H F,Ce Ca Al Si O H F,Ce^3+ Ca Al Si O H F,valid,,,
Alum-(K),KAl(S^6+^O_4_)_2_·12H_2_O,K Al S^6+ O H,K Al S^6+ O H,K Al S O H,K Al S^6+ O H,valid,,,
Alum-(Na),NaAl(S^6+^O_4_)_2_·12H_2_O,Na Al S^6+ O H,Na Al S^6+ O H,Na Al S O H,Na Al S^6+ O H,valid,,,
Alumoåkermanite,"(Ca,Na)_2_(Al,Mg,Fe^2+^)(Si_2_O_7_)",Ca Na Al Mg Fe^2+ Si O,Ca Na Al Mg Fe^2+ Si O,Ca Na Al Mg Fe Si O,Ca Na Al Mg Fe^2+ Si O,valid,,,
Alumoedtollite,K_2_NaCu^2+^_5_AlO_2_(As^5+^O_4_)_4_,K Na Cu^2+ Al O As^5+,K Na Cu^2+ Al O As^5+,K Na Cu Al O As,K Na Cu^2+ Al O As^5+,valid,,,
Alumohydrocalcite,CaAl_2_(CO_3_)_2_(OH)_4_·3H_2_O,Ca Al C O H,Ca Al C O H,Ca Al C O H,Ca Al C O H,valid,,,
Alumoklyuchevskite,K_3_Cu^2+^_3_AlO_2_(S^6+^O_4_)_4_,K Cu^2+ Al O S^6+,K Cu^2+ Al O S^6+,K Cu Al O S,K Cu^2+ Al O S^6+,valid,,,
Alumolukrahnite,CaCu^2+^Al(As^5+^O_4_)_2_(OH)(H_2_O),Ca Cu^2+ Al As^5+ O H,Ca Cu^2+ Al As^5+ O H,Ca Cu Al As O H,Ca Cu^2+ Al As^5+ O H,valid,,,
Alumotantite,AlTa^5+^O_4_,Al Ta^5+ O,Al Ta^5+ O,Al Ta O,Al Ta^5+ O,valid,,,
Alumovesuvianite,Ca_19_Al(Al_10_Mg_2_)(SiO_4_)_10_(Si_2_O_7_)_4_O(OH)_9_,Ca Al Mg Si O H,Ca Al Mg Si O H,Ca Al Mg Si O H,Ca Al Mg Si O H,valid,,,
Alunite,KAl_3_(S^6+^O_4_)_2_(OH)_6_,K Al S^6+ O H,K Al S^6+ O H,K Al S O H,K Al S^6+ O H,valid,,,
Alunogen,Al_2_(S^6+^O_4_)_3_(H_2_O)_12_·5H_2_O,Al S^6+ O H,Al S^6+ O H,Al S O H,Al S^6+ O H,valid,,,
Alvanite,Zn^2+^Al_4_(V^5+^O_3_)_2_(OH)_12_·2H_2_O,Zn^2+ Al V^5+ O H,Zn^2+ Al V^5+ O H,Zn Al V O H,Zn^2+ Al V^5+ O H,valid,,,
Alvesite,NaKZr^4+^Si_6_O_15_·2H_2_O,Na K Zr^4+ Si O H,Na K Zr^4+ Si O H,Na K Zr Si O H,Na K Zr^4+ Si O H,valid,,,
Alwilkinsite-(Y),Y(U^6+^O_2_)_3_(S^6+^O_4_)_2_O(OH)_3_(H_2_O)_7_·7H_2_O,Y U^6+ O S^6+ H,Y U^6+ O S^6+ H,Y U O S H,Y U^6+ O S^6+ H,valid,,,
Amableite-(Ce),Na_15_[(Ce^3+^_1.5_Na_1.5_)Mn^2+^_3_]Mn^2+^_2_Zr^4+^_3_[box]Si[Si_24_O_69_(OH)_3_](OH)_2_·H_2_O,Na Ce^3+ Mn^2+ Zr^4+ Si O H,Na Ce^3+ Mn^2+ Zr^4+ Si O H,Na Ce Mn Zr Si O H,Na Ce^3+ Mn^2+ Zr^4+ Si O H,valid,,,
Amakinite,Fe^2+^(OH)_2_,Fe^2+ O H,Fe^2+ O H,Fe O H,Fe^2+ O H,valid,,,
Amamoorite,CaMn^2+^_2_Mn^3+^(Si_2_O_7_)O(OH),Ca Mn^2+ Mn^3+ Si O H,Ca Mn^2+ Mn^3+ Si O H,Ca Mn Si O H,Ca Mn^2+ Mn^3+ Si O H,valid,,,
Amarantite,Fe^3+^_2_O(S^6+^O_4_)_2_·7H_2_O,Fe^3+ O S^6+ H,Fe^3+ O S^6+ H,Fe O S H,Fe^3+ O S^6+ H,valid,,,
Amarillite,NaFe^3+^(S^6+^O_4_)_2_·6H_2_O,Na Fe^3+ S^6+ O H,Na Fe^3+ S^6+ O H,Na Fe S O H,Na Fe^3+ S^6+ O H,valid,,,
Amaterasuite,Sr_4_Ti^4+^_6_Si_4_O_23_(OH)Cl,Sr Ti^4+ Si O H Cl,Sr Ti^4+ Si O H Cl,Sr Ti Si O H Cl,Sr Ti^4+ Si O H Cl,valid,,,
Amblygonite,LiAlPO_4_F,Li Al P O F,Li Al P O F,Li Al P O F,Li Al P O F,valid,,,
Ambrinoite,"[K,(N^3-^H_4_)]_2_(As^3+^,Sb^3+^)_6_(Sb^3+^,As^3+^)_2_S^2-^_13_·H_2_O",K N^3- H As^3+ Sb^3+ S^2- O,K N^3- H As^3+ Sb^3+ S^2- O,K N H As Sb S O,K N^3- H As^3+ Sb^3+ S^2- O,valid,,,
Ameghinite,NaB_3_O_3_(OH)_4_,Na B O H,Na B O H,Na B O H,Na B O H,valid,,,
Amesite,Mg_2_Al(AlSiO_5_)(OH)_4_,Mg Al Si O H,Mg Al Si O H,Mg Al Si O H,Mg Al Si O H,valid,,,
Amgaite,Tl^3+^_2_Te^6+^O_6_,Tl^3+ Te^6+ O,Tl^3+ Te^6+ O,Tl Te O,Tl^3+ Te^6+ O,valid,,,
Amicite,K_2_Na_2_(Si_4_Al_4_O_16_)·5H_2_O,K Na Si Al O H,K Na Si Al O H,K Na Si Al O H,K Na Si Al O H,valid,,,
Aminoffite,Ca_3_(BeOH)_2_Si_3_O_10_,Ca Be O H Si,Ca Be O H Si,Ca Be O H Si,Ca Be O H Si,valid,,,
Ammineite,Cu^2+^Cl_2_(N^3-^H_3_)_2_,Cu^2+ Cl N^3- H,Cu^2+ Cl N^3- H,Cu Cl N H,Cu^2+ Cl N^3- H,valid,,,
Ammonioalunite,N^3-^H_4_Al_3_(S^6+^O_4_)_2_(OH)_6_,N^3- H Al S^6+ O,N^3- H Al S^6+ O,N H Al S O,N^3- H Al S^6+ O,valid,,,
Ammonioborite,(N^3-^H_4_)_3_B_15_O_20_(OH)_8_·4H_2_O,N^3- H B O,N^3- H B O,N H B O,N^3- H B O,valid,,,
Ammoniojarosite,N^3-^H_4_Fe^3+^_3_(S^6+^O_4_)_2_(OH)_6_,N^3- H Fe^3+ S^6+ O,N^3- H Fe^3+ S^6+ O,N H Fe S O,N^3- H Fe^3+ S^6+ O,valid,,,
Ammoniolasalite,(N^3-^H_4_)_2_Mg_2_[V^5+^_10_O_28_]·20H_2_O,N^3- H Mg V^5+ O,N^3- H Mg V^5+ O,N H Mg V O,N^3- H Mg V^5+ O,valid,,,
Ammonioleucite,(N^3-^H_4_)AlSi_2_O_6_,N^3- H Al Si O,N^3- H Al Si O,N H Al Si O,N^3- H Al Si O,valid,,,
Ammoniomagnesiovoltaite,(N^3-^H_4_)_2_Mg_5_Fe^3+^_3_Al(S^6+^O_4_)_12_·18H_2_O,N^3- H Mg Fe^3+ Al S^6+ O,N^3- H Mg Fe^3+ Al S^6+ O,N H Mg Fe Al S O,N^3- H Mg Fe^3+ Al S^6+ O,valid,,,
Ammoniomathesiusite,(N^3-^H_4_)_5_(U^6+^O_2_)_4_(S^6+^O_4_)_4_(V^5+^O_5_)·4H_2_O,N^3- H U^6+ O S^6+ V^5+,N^3- H U^6+ O S^6+ V^5+,N H U O S V,N^3- H U^6+ O S^6+ V^5+,valid,,,
Ammoniotinsleyite,(N^3-^H_4_)Al_2_(PO_4_)_2_(OH)·2H_2_O,N^3- H Al P O,N^3- H Al P O,N H Al P O,N^3- H Al P O,valid,,,
Ammoniovoltaite,(N^3-^H_4_)_2_Fe^2+^_5_Fe^3+^_3_Al(S^6+^O_4_)_12_(H_2_O)_18_,N^3- H Fe^2+ Fe^3+ Al S^6+ O,N^3- H Fe^2+ Fe^3+ Al S^6+ O,N H Fe Al S O,N^3- H Fe^2+ Fe^3+ Al S^6+ O,valid,,,
Ammoniozippeite,(N^3-^H_4_)_2_[(U^6+^O_2_)_2_(S^6+^O_4_)O_2_]·H_2_O,N^3- H U^6+ O S^6+,N^3- H U^6+ O S^6+,N H U O S,N^3- H U^6+ O S^6+,valid,,,
Amoraite,Ca_12_Al_6_(OH)_36_(CO_3_)_2_(S^4+^O_3_)·15H_2_O,Ca Al O H C S^4+,Ca Al O H C S^4+,Ca Al O H C S,Ca Al O H C S^4+,valid,,,
Amstallite,"CaAl(Si,Al)_4_O_8_(OH)_4_·(H_2_O,Cl)",Ca Al Si O H Cl,Ca Al Si O H Cl,Ca Al Si O H Cl,Ca Al Si O H Cl,valid,,,
Amurselite,(N^3-^H_4_)_2_(U^6+^O_2_)_5_(Se^4+^O_3_)_3_O_2_(OH)_2_(H_2_O)·8H_2_O,N^3- H U^6+ O Se^4+,N^3- H U^6+ O Se^4+,N H U O Se,N^3- H U^6+ O Se^4+,valid,,,
Analcime,NaAlSi_2_O_6_·H_2_O,Na Al Si O H,Na Al Si O H,Na Al Si O H,Na Al Si O H,valid,,,
Anandite,BaFe^2+^_3_(Si_3_Fe^3+^)O_10_S^2-^(OH),Ba Fe^2+ Si Fe^3+ O S^2- H,Ba Fe^2+ Si Fe^3+ O S^2- H,Ba Fe Si O S H,Ba Fe^2+ Si Fe^3+ O S^2- H,valid,,,
Anapaite,Ca_2_Fe^2+^(PO_4_)_2_·4H_2_O,Ca Fe^2+ P O H,Ca Fe^2+ P O H,Ca Fe P O H,Ca Fe^2+ P O H,valid,,,
Anastasenkoite,CaFe^2+^P_2_O_7_,Ca Fe^2+ P O,Ca Fe^2+ P O,Ca Fe P O,Ca Fe^2+ P O,valid,,,
Anatase,Ti^4+^O_2_,Ti^4+ O,Ti^4+ O,Ti O,Ti^4+ O,valid,,,
Anatolygurbanovite,SrCa_2_Si_3_O_9_,Sr Ca Si O,Sr Ca Si O,Sr Ca Si O,Sr Ca Si O,valid,,,
Anatolyite,"Na_6_(Ca,Na)(Mg,Fe^3+^)_3_Al(As^5+^O_4_)_6_",Na Ca Mg Fe^3+ Al As^5+ O,Na Ca Mg Fe^3+ Al As^5+ O,Na Ca Mg Fe Al As O,Na Ca Mg Fe^3+ Al As^5+ O,valid,,,
Ancylite-(Ce),Ce^3+^Sr(CO_3_)_2_(OH)·H_2_O,Ce^3+ Sr C O H,Ce^3+ Sr C O H,Ce Sr C O H,Ce^3+ Sr C O H,valid,,,
Ancylite-(La),La^3+^Sr(CO_3_)_2_(OH)·H_2_O,La^3+ Sr C O H,La^3+ Sr C O H,La Sr C O H,La^3+ Sr C O H,valid,,,
Andalusite,Al_2_SiO_5_,Al Si O,Al Si O,Al Si O,Al Si O,valid,,,
Andersonite,Na_2_Ca(U^6+^O_2_)(CO_3_)_3_·5-6H_2_O,Na Ca U^6+ O C H,Na Ca U^6+ O C H,Na Ca U O C H,Na Ca U^6+ O C H,valid,,,
Andradite,Ca_3_Fe^3+^_2_(SiO_4_)_3_,Ca Fe^3+ Si O,Ca Fe^3+ Si O,Ca Fe Si O,Ca Fe^3+ Si O,valid,,,
Andreadiniite,Cu^1+^Hg^2+^Ag^1+^_7_Pb^2+^_7_Sb^3+^_24_S^2-^_48_,Cu^1+ Hg^2+ Ag^1+ Pb^2+ Sb^3+ S^2-,Cu^1+ Hg^2+ Ag^1+ Pb^2+ Sb^3+ S^2-,Cu Hg Ag Pb Sb S,Cu^1+ Hg^2+ Ag^1+ Pb^2+ Sb^3+ S^2-,valid,,,
Andrémeyerite,BaFe^2+^_2_Si_2_O_7_,Ba Fe^2+ Si O,Ba Fe^2+ Si O,Ba Fe Si O,Ba Fe^2+ Si O,valid,,,
Andreybulakhite,Ni^2+^((C_2_)^6+^O_4_)·2H_2_O,Ni^2+ C O H,Ni^2+ C O H,Ni C O H,Ni^2+ C O H,valid,,,
Andreyivanovite,FeCrP,Fe Cr P,Fe Cr P,Fe Cr P,Fe Cr P,valid,,,
Andrianovite,"Na_12_(K,Sr,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(O,H_2_O,OH)_5_",Na K Sr Ce^3+ Ca Mn^2+ Zr^4+ Nb^5+ Si O H,Na K Sr Ce^3+ Ca Mn^2+ Zr^4+ Nb^5+ Si O H,Na K Sr Ce Ca Mn Zr Nb Si O H,Na K Sr Ce^3+ Ca Mn^2+ Zr^4+ Nb^5+ Si O H,valid,,,
Andrieslombaardite,Rh^3+^(SbS)^3-^,Rh^3+ Sb S,Rh^3+ Sb S,Rh Sb S,Rh^3+ Sb S,valid,,,
Anduoite,RuAs_2_,Ru As,Ru As,Ru As,Ru As,valid,,,
Andychristyite,Pb^2+^Cu^2+^Te^6+^O_5_(H_2_O),Pb^2+ Cu^2+ Te^6+ O H,Pb^2+ Cu^2+ Te^6+ O H,Pb Cu Te O H,Pb^2+ Cu^2+ Te^6+ O H,valid,,,
Andymcdonaldite,Fe^3+^_2_Te^6+^O_6_,Fe^3+ Te^6+ O,Fe^3+ Te^6+ O,Fe Te O,Fe^3+ Te^6+ O,valid,,,
Andyrobertsite,KCd^2+^Cu^2+^_5_(As^5+^O_4_)_4_[As^5+^(OH)_2_O_2_]·2H_2_O,K Cd^2+ Cu^2+ As^5+ O H,K Cd^2+ Cu^2+ As^5+ O H,K Cd Cu As O H,K Cd^2+ Cu^2+ As^5+ O H,valid,,,
Angarfite,NaFe^3+^_5_(PO_4_)_4_(OH)_4_·4H_2_O,Na Fe^3+ P O H,Na Fe^3+ P O H,Na Fe P O H,Na Fe^3+ P O H,valid,,,
Angastonite,CaMgAl_2_(PO_4_)_2_(OH)_4_·7H_2_O,Ca Mg Al P O H,Ca Mg Al P O H,Ca Mg Al P O H,Ca Mg Al P O H,valid,,,
Ángelaite,Cu^1+^_2_Ag^1+^Pb^2+^Bi^3+^S^2-^_4_,Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-,Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-,Cu Ag Pb Bi S,Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-,valid,,,
Angelellite,Fe^3+^_4_O_3_(As^5+^O_4_)_2_,Fe^3+ O As^5+,Fe^3+ O As^5+,Fe O As,Fe^3+ O As^5+,valid,,,
Anglesite,Pb^2+^S^6+^O_4_,Pb^2+ S^6+ O,Pb^2+ S^6+ O,Pb S O,Pb^2+ S^6+ O,valid,,,
Anhydrite,CaS^6+^O_4_,Ca S^6+ O,Ca S^6+ O,Ca S O,Ca S^6+ O,valid,,,
Anhydrokainite,KMgS^6+^O_4_Cl,K Mg S^6+ O Cl,K Mg S^6+ O Cl,K Mg S O Cl,K Mg S^6+ O Cl,valid,,,
Anilite,Cu_7_S_4_,Cu S,Cu S,Cu S,Cu S,valid,,,
Ankerite,CaFe^2+^(CO_3_)_2_,Ca Fe^2+ C O,Ca Fe^2+ C O,Ca Fe C O,Ca Fe^2+ C O,valid,,,
Ankinovichite,Ni^2+^Al_4_(V^5+^O_3_)_2_(OH)_12_·2H_2_O,Ni^2+ Al V^5+ O H,Ni^2+ Al V^5+ O H,Ni Al V O H,Ni^2+ Al V^5+ O H,valid,,,
Annabergite,Ni^2+^_3_(As^5+^O_4_)_2_·8H_2_O,Ni^2+ As^5+ O H,Ni^2+ As^5+ O H,Ni As O H,Ni^2+ As^5+ O H,valid,,,
Anningite-(Ce),(Ca_0.5_Ce^4+^_0.5_)(V^5+^O_4_),Ca Ce^4+ V^5+ O,Ca Ce^4+ V^5+ O,Ca Ce V O,Ca Ce^4+ V^5+ O,valid,,,
Annite,KFe^2+^_3_AlSi_3_O_10_(OH)_2_,K Fe^2+ Al Si O H,K Fe^2+ Al Si O H,K Fe Al Si O H,K Fe^2+ Al Si O H,valid,,,
Annivite-(Zn),Cu^1+^_6_(Cu^1+^_4_Zn^2+^_2_)Bi^3+^_4_S^2-^_13_,Cu^1+ Zn^2+ Bi^3+ S^2-,Cu^1+ Zn^2+ Bi^3+ S^2-,Cu Zn Bi S,Cu^1+ Zn^2+ Bi^3+ S^2-,valid,,,
Anorpiment,As^3+^_2_S^2-^_3_,As^3+ S^2-,As^3+ S^2-,As S,As^3+ S^2-,valid,,,
Anorthite,CaAl_2_Si_2_O_8_,Ca Al Si O,Ca Al Si O,Ca Al Si O,Ca Al Si O,valid,,,
Anorthominasragrite,V^4+^O(S^6+^O_4_)·5H_2_O,V^4+ O S^6+ H,V^4+ O S^6+ H,V O S H,V^4+ O S^6+ H,valid,,,
Anorthoroselite,Ca_2_Co^2+^(As^5+^O_4_)_2_·2H_2_O,Ca Co^2+ As^5+ O H,Ca Co^2+ As^5+ O H,Ca Co As O H,Ca Co^2+ As^5+ O H,valid,,,
Anorthoyttrialite-(Y),Y_4_(SiO_4_)(Si_3_O_10_),Y Si O,Y Si O,Y Si O,Y Si O,valid,,,
Ansermetite,Mn^2+^V^5+^_2_O_6_·4H_2_O,Mn^2+ V^5+ O H,Mn^2+ V^5+ O H,Mn V O H,Mn^2+ V^5+ O H,valid,,,
Antarcticite,CaCl_2_·6H_2_O,Ca Cl H O,Ca Cl H O,Ca Cl H O,Ca Cl H O,valid,,,
Anthoinite,AlW^6+^O_3_(OH)_3_,Al W^6+ O H,Al W^6+ O H,Al W O H,Al W^6+ O H,valid,,,
Anthonyite,Cu^2+^(OH)_2_·3H_2_O,Cu^2+ O H,Cu^2+ O H,Cu O H,Cu^2+ O H,valid,,,
Anthophyllite,[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_,Mg Si O H,Mg Si O H,Mg Si O H,Mg Si O H,valid,,,
Antigorite,Mg_3_Si_2_O_5_(OH)_4_,Mg Si O H,Mg Si O H,Mg Si O H,Mg Si O H,valid,,,
Antimonselite,Sb^3+^_2_Se^2-^_3_,Sb^3+ Se^2-,Sb^3+ Se^2-,Sb Se,Sb^3+ Se^2-,valid,,,
Antimony,Sb,Sb,Sb,Sb,Sb,valid,,,
Antipinite,KNa_3_Cu^2+^_2_((C_2_)^6+^O_4_)_4_,K Na Cu^2+ C O,K Na Cu^2+ C O,K Na Cu C O,K Na Cu^2+ C O,valid,,,
Antipovite,Cu^2+^_5_O_2_(PO_4_)_2_,Cu^2+ O P,Cu^2+ O P,Cu O P,Cu^2+ O P,valid,,,
Antlerite,Cu^2+^_3_(S^6+^O_4_)(OH)_4_,Cu^2+ S^6+ O H,Cu^2+ S^6+ O H,Cu S O H,Cu^2+ S^6+ O H,valid,,,
Antofagastaite,Na_2_Ca(S^6+^O_4_)_2_·1.5H_2_O,Na Ca S^6+ O H,Na Ca S^6+ O H,Na Ca S O H,Na Ca S^6+ O H,valid,,,
Anyuiite,AuPb_2_,Au Pb,Au Pb,Au Pb,Au Pb,valid,,,
Anzaite-(Ce),Ce^3+^_4_Fe^2+^Ti^4+^_6_O_18_(OH)_2_,Ce^3+ Fe^2+ Ti^4+ O H,Ce^3+ Fe^2+ Ti^4+ O H,Ce Fe Ti O H,Ce^3+ Fe^2+ Ti^4+ O H,valid,,,
Apachite,Cu^2+^_9_Si_10_O_29_·11H_2_O,Cu^2+ Si O H,Cu^2+ Si O H,Cu Si O H,Cu^2+ Si O H,valid,,,
Apexite,NaMg(PO_4_)·9H_2_O,Na Mg P O H,Na Mg P O H,Na Mg P O H,Na Mg P O H,valid,,,
Aphthitalite,K_3_Na(S^6+^O_4_)_2_,K Na S^6+ O,K Na S^6+ O,K Na S O,K Na S^6+ O,valid,,,
Apjohnite,Mn^2+^Al_2_(S^6+^O_4_)_4_·22H_2_O,Mn^2+ Al S^6+ O H,Mn^2+ Al S^6+ O H,Mn Al S O H,Mn^2+ Al S^6+ O H,valid,,,
Aplowite,Co^2+^S^6+^O_4_·4H_2_O,Co^2+ S^6+ O H,Co^2+ S^6+ O H,Co S O H,Co^2+ S^6+ O H,valid,,,
Apuanite,Fe^2+^Fe^3+^_4_Sb^3+^_4_O_12_S^2-^,Fe^2+ Fe^3+ Sb^3+ O S^2-,Fe^2+ Fe^3+ Sb^3+ O S^2-,Fe Sb O S,Fe^2+ Fe^3+ Sb^3+ O S^2-,valid,,,
Aqualite,"(H_3_O)_8_(Na,K,Sr)_5_Ca_6_Zr^4+^_3_Si_26_O_66_(OH)_9_Cl",H O Na K Sr Ca Zr^4+ Si Cl,H O Na K Sr Ca Zr^4+ Si Cl,H O Na K Sr Ca Zr Si Cl,H O Na K Sr Ca Zr^4+ Si Cl,valid,,,
Aradite,BaCa_6_(SiO_4_)(V^5+^O_4_)(V^5+^O_4_)_2_F,Ba Ca Si O V^5+ F,Ba Ca Si O V^5+ F,Ba Ca Si O V F,Ba Ca Si O V^5+ F,valid,,,
Aragonite,CaCO_3_,Ca C O,Ca C O,Ca C O,Ca C O,valid,,,
Arakiite,Zn^2+^Mn^2+^_12_Fe^3+^_2_(As^3+^O_3_)(As^5+^O_4_)_2_(OH)_23_,Zn^2+ Mn^2+ Fe^3+ As^3+ O As^5+ H,Zn^2+ Mn^2+ Fe^3+ As^3+ O As^5+ H,Zn Mn Fe As O H,Zn^2+ Mn^2+ Fe^3+ As^3+ O As^5+ H,valid,,,
Aramayoite,"Ag^1+^_3_Sb^3+^_2_(Bi^3+^,Sb^3+^)S^2-^_6_",Ag^1+ Sb^3+ Bi^3+ S^2-,Ag^1+ Sb^3+ Bi^3+ S^2-,Ag Sb Bi S,Ag^1+ Sb^3+ Bi^3+ S^2-,valid,,,
Arangasite,Al_2_(S^6+^O_4_)(PO_4_)F·9H_2_O,Al S^6+ O P F H,Al S^6+ O P F H,Al S O P F H,Al S^6+ O P F H,valid,,,
Arapovite,"(K_1-x_[box]_x_)(Ca,Na)_2_U^4+^Si_8_O_20_ (x~0.5)",K Ca Na U^4+ Si O,K Ca Na U^4+ Si O,K Ca Na U Si O,K Ca Na U^4+ Si O,valid,,,
Aravaipaite,Pb^2+^_3_AlF_9_·H_2_O,Pb^2+ Al F H O,Pb^2+ Al F H O,Pb Al F H O,Pb^2+ Al F H O,valid,,,
Aravaite,Ba_2_Ca_18_(SiO_4_)_6_(PO_4_)_3_(CO_3_)F_3_O,Ba Ca Si O P C F,Ba Ca Si O P C F,Ba Ca Si O P C F,Ba Ca Si O P C F,valid,,,
Arcanite,K_2_S^6+^O_4_,K S^6+ O,K S^6+ O,K S O,K S^6+ O,valid,,,
Archerite,H_2_KPO_4_,H K P O,H K P O,H K P O,H K P O,valid,,,
Arctite,(Na_5_Ca)Ca_6_Ba(PO_4_)_6_F_3_,Na Ca Ba P O F,Na Ca Ba P O F,Na Ca Ba P O F,Na Ca Ba P O F,valid,,,
Arcubisite,Ag_6_CuBiS_4_,Ag Cu Bi S,Ag Cu Bi S,Ag Cu Bi S,Ag Cu Bi S,valid,,,
Ardaite,Pb^2+^_17_Sb^3+^_15_S^2-^_35_Cl_9_,Pb^2+ Sb^3+ S^2- Cl,Pb^2+ Sb^3+ S^2- Cl,Pb Sb S Cl,Pb^2+ Sb^3+ S^2- Cl,valid,,,
Ardealite,Ca_2_(PO_3_OH)(S^6+^O_4_)·4H_2_O,Ca P O H S^6+,Ca P O H S^6+,Ca P O H S,Ca P O H S^6+,valid,,,
Ardennite-(As),Mn^2+^_4_Al_4_(AlMg)(As^5+^O_4_)(SiO_4_)_2_(Si_3_O_10_)(OH)_6_,Mn^2+ Al Mg As^5+ O Si H,Mn^2+ Al Mg As^5+ O Si H,Mn Al Mg As O Si H,Mn^2+ Al Mg As^5+ O Si H,valid,,,
Ardennite-(V),Mn^2+^_4_(AlMg)Al_4_(Si_5_V^5+^)O_22_(OH)_6_,Mn^2+ Al Mg Si V^5+ O H,Mn^2+ Al Mg Si V^5+ O H,Mn Al Mg Si V O H,Mn^2+ Al Mg Si V^5+ O H,valid,,,
Arfvedsonite,NaNa_2_(Fe^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_,Na Fe^2+ Fe^3+ Si O H,Na Fe^2+ Fe^3+ Si O H,Na Fe Si O H,Na Fe^2+ Fe^3+ Si O H,valid,,,
Argandite,Mn^2+^_7_(V^5+^O_4_)_2_(OH)_8_,Mn^2+ V^5+ O H,Mn^2+ V^5+ O H,Mn V O H,Mn^2+ V^5+ O H,valid,,,
Argentobaumhauerite,Ag_1.5_Pb_22_As_33.5_S_72_,Ag Pb As S,Ag Pb As S,Ag Pb As S,Ag Pb As S,valid,,,
Argentodufrénoysite,Ag^1+^_3_Pb^2+^_26_As^3+^_35_S^2-^_80_,Ag^1+ Pb^2+ As^3+ S^2-,Ag^1+ Pb^2+ As^3+ S^2-,Ag Pb As S,Ag^1+ Pb^2+ As^3+ S^2-,valid,,,
