source_index,target_index,neighbor_rank,distance
1845,2468,5,0.8260299042691479
1845,3597,6,0.8857990510017202
1845,3256,7,0.8945259060288441
1845,3255,8,0.9103048437037438
1845,2660,9,0.9680206370575457
1845,2394,10,0.9805308088633882
1846,2493,1,0.23114090487366112
1846,1844,2,0.2421514126496528
1846,2518,3,0.30451629911388395
1846,1845,4,0.7604628541763621
1846,721,5,0.8077074857924581
1846,3256,6,0.8430808534786146
1846,3255,7,0.9460361464387184
1846,2394,8,0.9464763300546887
1846,5998,9,0.9785512975024107
1846,4563,10,0.9928604867099349
1847,1848,1,0.33192537572937064
1847,1862,2,1.2951425363807791
1847,2172,3,1.9346412908779635
1847,5494,4,2.1408375170010707
1847,6226,5,2.176583682549552
1847,2888,6,2.1919800272445142
1847,4754,7,2.1988311460489585
1847,3515,8,2.350620302421304
1847,5627,9,2.3637164826640866
1847,4215,10,2.378730929535663
1848,1847,1,0.33192537572937064
1848,1862,2,1.1660288466239563
1848,2172,3,1.7311606966065234
1848,5494,4,2.0720742439282422
1848,2888,5,2.0866610791160736
1848,4754,6,2.109194534169326
1848,3515,7,2.2190148284961637
1848,6226,8,2.326072611999273
1848,432,9,2.3609725554373897
1848,431,10,2.383529542389034
1849,1869,1,0.09146699079418644
1849,5017,2,0.5525220204691108
1849,2164,3,0.5583514372617879
1849,769,4,0.656516547447411
1849,4097,5,0.7248796201825233
1849,1171,6,0.743926806204888
1849,1541,7,0.7528319150179051
1849,4809,8,0.8652406203207913
1849,6008,9,0.8889094723159204
1849,3999,10,0.8928698537952812
1850,1851,1,0.045828986768547436
1850,1852,2,0.5991970262216122
1850,1853,3,0.6455089907926197
1850,2431,4,1.185836410215254
1850,5278,5,1.2766621390214643
1850,2432,6,1.3278950365816613
1850,3082,7,1.3448908885233977
1850,1866,8,1.3459552597573237
1850,1197,9,1.401770924481023
1850,4268,10,1.4063289336476883
1851,1850,1,0.045828986768547436
1851,1852,2,0.5951643198837676
1851,1853,3,0.6399543169790294
1851,2431,4,1.1838436436290372
1851,5278,5,1.2654798499982007
1851,2432,6,1.3238243249222759
1851,1866,7,1.3351852181802955
1851,3082,8,1.340511069025159
1851,1197,9,1.3977509055497968
1851,4799,10,1.4075798908045871
1852,1853,1,0.2186402425018143
1852,1851,2,0.5951643198837676
1852,1850,3,0.5991970262216122
1852,5278,4,1.1272966540547495
1852,2432,5,1.1812669149553767
1852,1866,6,1.2071187679521198
1852,3082,7,1.2119521094988412
1852,1197,8,1.2572809702170735
1852,2431,9,1.2779888291089028
1852,1044,10,1.292502439803722
1853,1852,1,0.2186402425018143
1853,1851,2,0.6399543169790294
1853,1850,3,0.6455089907926197
1853,5278,4,1.0205005950946724
1853,1866,5,1.111770802779823
1853,2432,6,1.1667780371448289
1853,1044,7,1.2039356938267185
1853,1863,8,1.2283322039603064
1853,1197,9,1.2330838255440313
1853,247,10,1.2371451111551868
1854,4061,1,0.8815676080655261
1854,4151,2,1.0521347128438387
1854,1896,3,1.0530376900783964
1854,4553,4,1.0663683505613026
1854,1899,5,1.0800131870989231
1854,1468,6,1.0880627836011492
1854,4145,7,1.0943151293450513
1854,1731,8,1.0976181627879076
1854,3270,9,1.1077470126262075
1854,140,10,1.1553072255562762
